index,text
0,#Coverup #AmericansDeserveTheTruth https://t.co/OeSthGQwaq
1,corona made everyone too scared to tweet how they haven’t showered since last year
2,"Update: all 201 passengers were screened and returned to the flight, taking off for their next destination. Glad to… https://t.co/lAIGBHFw06"
3,"Am I the only one who asks themselves at least once per day during #COVID19, “Ok, but how is RBG doing??”"
4,"Mr. Biden: “Facing a dangerous abdication of leadership from Donald Trump during this pandemic, Governor Gretchen W… https://t.co/Tcxdbp3Dau"
5,@brian_schnee @USDA This just proves my point.  We should demand to stay home until all the viruses are gone!! Not… https://t.co/aEgm9eH8ls
6,Stay at home moms are bad bitches. You can’t change my mind.
7,"We could have 500+ Americans dying per day by Easter because of Coronavirus.

Trump is delusional, not listening to… https://t.co/pu5sN4AW04"
8,"That’s real perspective, ❤️🇺🇸 https://t.co/09d2HVybOk"
9,I love this man https://t.co/efinju2wmb
10,"Awesome side effect of the school/activity void: My kids are playing with my vintage Macintosh Plus, pretending the… https://t.co/qF0v9Lq1EO"
11,Saya akan pulang ke Indonesia 9 Mei dari Alaska transit di Taipe. Apa yang harus saya lakukan u/ mencegah Covid19 s… https://t.co/HVwg7PSjy2
12,"China Now Openly Fabricating Numbers: Beijing Lowers Coronavirus Deaths By 108 Due To ""Double Counting"" | Zero Hedge https://t.co/WN1e8kW44N"
13,Royal Caribbean Cancels 18 Cruises As Thousands Remain Trapped Aboard 'Diamond Princess' | Zero Hedge… https://t.co/gPPHZMZBPd
14,"There will always be those people that decide to stay home and watch on tv, but I have NEVER regretted going to a g… https://t.co/QcctV8oPdo"
15,@secupp You might want to ask your overlords in China for that.
16,Social distancing got me wondering what I was doin in crowded places before all this. Trips to the store are mad peaceful these days.
17,Omg I laughed my ass off on this one!! https://t.co/nIyDje5RkR
18,"""China builds 1,000-bed coronavirus hospital in Wuhan at the epicenter of the outbreak""  https://t.co/1I6TkUNNcg"
19,Obama was too busy filling up his own pockets! https://t.co/9Q0aulmcTk
20,He only half immune https://t.co/I9vw9jkkeC
21,"If they die without testing our numbers are low.
#45sadminiscriminallynegligent
#25thAmendmentNow… https://t.co/ck0cUAJKsh"
22,@DrTedros @IvankaTrump Girl talk to your dad.
23,"Happy 4th Birthday 
to our precious daughter
Theone Josiana,we pray that God will filled your life with love &amp; good… https://t.co/s4JU4Gzl3W"
24,"CAN PEOPLE STOP HITTING MY CHEEKBONES 
 WITH NUCLEAR BURNS NOW!!! https://t.co/hfvQ2ykKZ4"
25,Yes he did. https://t.co/J9jL4Kr5iV
26,"@Asm7998 @airbagmoments @GlennKesslerWP Trump University Lesson 1:

Genius = Jenius 
Huge = YUGE
China = Jina 
Big… https://t.co/UUx9utgZqW"
27,This mf spittin https://t.co/uWK5qo5WTC
28,The United States does not have the social safety net for a months long shut down. If we are still locked down in 6… https://t.co/jNNxpSqYwb
29,Why do they keep beating this into the ground. Fools nothing but fools! It’s like reruns can’t they find something… https://t.co/JwD67fOCPg
30,Wyatts officially a stay at home dog dad now 😂
31,"@DemonicRobot @Rico_time77 @jeffgezy I think you’re getting confused. 

The game isn’t delayed because it isn’t fin… https://t.co/26O0lLjvMp"
32,"I was always in the house so that’s fine , i don’t like when someone TELLS me i have to stay in it . Flatten this c… https://t.co/iUbRMvtok2"
33,Strawberry Pie! 🍓 🥧 #QuarantineLife #QuarantineFoodChat #QuarantinePie https://t.co/NV4rmNkkjt
34,@wmdavid66 @charliekirk11 Our first case in Anchorage came from a pilot of a cargo flight from ..... China.....on March 12
35,I am for that! 👍🙏🇺🇸 https://t.co/Ke8ko15zsb
36,@Linda1449 Agree but may not be conducive to social distancing ;)
37,At least I’m not living thru the 1920 flu pandemic instead. What did they even do for fun?? Draw on cave walls and play with sticks?
38,"American exceptionalism.

https://t.co/77gud7HtNi"
39,The first decent this woman has ever said.  So you care?  @MELANIATRUMP SORRY I THINK THIS IS A FAKE STATEMENT https://t.co/6TOTLRJYt3
40,@Manny_Funes @realDonaldTrump Trump's too busy 'spreading the Love's to his Minions at campaign rallies to bother w… https://t.co/PxtkHaWHn0
41,you’re pretty experienced with death anyways https://t.co/3n4s0LmRU8
42,I hope the US catches up with the countries who have thousands of test kits available  with FREE testing! https://t.co/FBg5T7mchp
43,"My God, the total lack of anything meaningful coming from federal and state government in the US at this point in a… https://t.co/QkfKM4zaC8"
44,Working from home building training material... this is a direct result of social distancing. https://t.co/JE0UNsqPIJ
45,@rachel_maria65 @AnnieSage @Helenhs Wven before corona virus I never would have gone on one of those huge Petri dishes....
46,This is a punishment. -Outbreak
47,I’m saving so much money on makeup by not going anywhere during the Coronavirus
48,@CDCgov got a commercial on the new @WestworldHBO
49,"I Wish Media Would Ask Him About How Many People Died During His ""Hoax"" Part of #Covid_19. https://t.co/cQaCzpQhjP"
50,"@NegarMortazavi @juniper42577773 👍 nice #COVID19Iran 

Next up Trump and Pence suited up and dancing 🕺 🕺 telling th… https://t.co/HMR6zAYKL3"
51,"Right. Okay. Then if he knew all along, why did he do nothing about it? He just convicted himself. https://t.co/UCF4ZNKJ7D"
52,"@danajaybein This made a tired Infection Preventionist 😏 Loved every word of it, rocked out, sharing it. Thank you… https://t.co/XTvBQVOtFj"
53,Keep retweeting it! https://t.co/9MUqqbOg0z
54,"#yanggang, #ElonMusk anyone who can help.

Please pass it on. Thank you

Wishing everyone good health. 

#Covid_19… https://t.co/1in4rnaZsd"
55,I don’t like it when my smart lawyer friends ask questions like this https://t.co/dyFTcUB9x0
56,Congratulations♡ https://t.co/8hgsou17sW
57,It’s times like these where I wish more than ever I lived somewhere warm where my outdoor social distancing would at least result in a tan
58,"Statewide shelter in place, travel ban ordered as Alaska sees first in-state COVID-19 death  https://t.co/wnyoTjBuZe"
59,Agreed...AK might be red but think we got going on social distancing early . https://t.co/foI1gEeuI1
60,How the virus from China get here before my W-2 did?
61,@realDonaldTrump The country needs to survive the China-virus and dems want to introduce the #newgreendeal in a bil… https://t.co/GOAlY2Hlg9
62,Me looking at someone say some more dumb uninformed racist bs about the corona virus and debating on whether I shou… https://t.co/zXbnjEEAV1
63,"Seth’s words in this essay have new meaning during the time of COVID-19.
1/3

https://t.co/jr6n4jqLva"
64,Anyone who really believes only they can fix it is delusional. Full stop. https://t.co/GRjV32MxET
65,You’re either growing or dying. Use this time to get stronger and smarter. Keep moving forward. #QuarantineLife https://t.co/BMOeXnLpHj
66,@kendraaaleighh I live in Alaska. Here’s the most up to date COVID-19 confirmed cases. We are hanging in there. https://t.co/crX6ycAQux
67,Democrats have got to be The worst human beings walking on the face the earth! 👎 https://t.co/HAUKxfIE4h
68,"Nothing says safety first like a case of hand sanitizer. #safetyfirst #coronavirus @ Anchorage, Alaska https://t.co/COg6HZB70j"
69,Christ on a cracker monkeys would be better at governing https://t.co/T9e0D1WS0B
70,@Pindoo7 @mmrogers5 Hey bro thanks for letting me borrow your private jet to get home when this pandemic started — and for giving me $100000
71,"We should not be protesting quarantine, we shouldn’t be arguing that only the sick should stay home. You can go wee… https://t.co/QpO8h4PeLv"
72,@rynmrtns @latimes The @latimes is in the business to make #money.  Everybody knows damn well that the #COVIDー19 st… https://t.co/zhbJsaMuMu
73,Seems to me the critical missing link can be traced back to the testing developed by WHO that was good enough to sa… https://t.co/Y3DCaMCQGM
74,@DavidCornDC #TrumpPandemic happened then #TrumpLiedPeopleDied causing the #TrumpCrash of the stock market.
75,Class action lawsuit against FOX news now https://t.co/q5aC3TBWtQ
76,@Dave00265359 @JodieMoss76 @realDonaldTrump He did not ban all flights from China in feb. our first case was a pilo… https://t.co/5ZIks0gGRx
77,"Dr tells me I need to stay home to rest and quit walking 
THEN WRITE ME A MF NOTE TO STAY HOME 😤"
78,"First Mass Quarantine Outside Of China: Vietnam Puts Area With 10,000 Residents Under Coronavirus Quarantine | Zero… https://t.co/wZGw91T6BU"
79,You can do this Jed. Think Anne Frank. It can be done. https://t.co/fWvxZGg7Qn
80,Interesting study. Worth taking honestly https://t.co/leLlNxtm22
81,Yeahhhhh we’re not getting a PFD this year https://t.co/QXlS9zTd5o
82,"Mask or face covering now required by law for all people in New York in stores, on the subway, etc.

I imagine this… https://t.co/4NYGEGM5t8"
83,Absolutely not. 👎 https://t.co/RzaQWE4Czo
84,@GoldTownNick I bet you 509 jolly ranchers that COVID-19 gets here before that ship!
85,I think CNN does know. https://t.co/nRjFzYQZsv
86,I was going to go to nyc this month but this corona virus shit has me fucked up
87,For real though... https://t.co/Tbk0Ecs8xV
88,Katie wasent playing! https://t.co/Zc9C9bEsQe
89,"During a Pandemic, Trump’s ‘Bullshit’ Will Be Deadly via @thenation https://t.co/T4AmtCzXxz"
90,Coronavirus Update: FDA and FTC Warn Seven Companies Selling Fraudulent Products that Claim to Treat or Prevent COV… https://t.co/y82Mb3KQbF
91,👀 https://t.co/YaLRPnRb1a
92,#WeAreSoScrewed 🤦‍♀️🤬😳 https://t.co/4e22WtvbGW
93,Legislators are receiving a briefing from the @Alaska_DHSS on Alaska’s statewide preparedness for COVID-19 (coronav… https://t.co/AA89gywNzY
94,Fuckin' corona. 😡😠
95,I get people stocking up on wet wipes and sanitizer. All this shortage on toilet paper? This shit is literally gett… https://t.co/ulxSmC6c0A
96,"This bitch got tested and flew while waiting for results.... 
That's some classic a+ stereotypical American selfish… https://t.co/SRwZPBhjI6"
97,"APPEARS NO MATTER WHICH ZIP CODE I MOVED TO, PROSTITUTE IVANKA TRUMP KUSHNER&amp;HER PEOPLE PUT THE WORD OUT THAT I WAS… https://t.co/Wt4vW1RjYV"
98,Just shows you how evil they are!! https://t.co/Se2skHDTJ4
99,"Wow, @vp Pence has the job of *clean-up crew* for #Trump. At this point in time, if you believe anything DT says on… https://t.co/CRre8DI9rC"
100,"@klut_r @lisamurkowski Maybe you know someone with the corona virus? 
I don’t but I certainly know lots of veterans"
101,Coronavirus Prevention Tactics: How to Get Kids to Stop Touching Their Faces https://t.co/D6iMM6GRHw
102,Still winning! https://t.co/Stc59gnxk4
103,I’m wearing a corona virus mask downtown next weekend
104,@IDdocAdi 🤣 @chheda_aayushi that’s what you get for being gone for a month and then coming back to COVID-19!
105,@AndrewYang @DHotwheelz I'm not paying attention. I dont have the mental energy for it.  Avoiding stress like the corona virus.
106,"Fuck the corona virus, I’m going into work for 8 hours of OT on a Sunday."
107,Well shit. https://t.co/k4KuhRfCES
108,"We were discussing how references in news stories for the  coronavirus has shifted from ""novel coronavirus"" to ""COV… https://t.co/EYPdIst2lb"
109,@sam_farnum  I’m dead 😂😂 https://t.co/bdjaqpeRra
110,Wtf going on man!?! This guy gotta be sick https://t.co/lyyLLUakf3
111,I’m training to fight the corona virus 😤 https://t.co/XFhxpfAbnS
112,By Any Other Name...Thread By 🔻 https://t.co/9IOeAO5efZ
113,@TananaChiefs has a plan in place to be able to start testing for coronavirus in the villages?
114,@realDonaldTrump Thank you for taking care of all Americans without insurance if they contract the corona virus. Gr… https://t.co/WCLgUuuNvQ
115,HA! HA! NOW PLEASE SHUT UP TED!😂 https://t.co/M0OUpRf2lM
116,alaska twitter bout be wilding tf out https://t.co/YJYiKofLqo
117,I received the following information in a press release concerning Iditarod and its efforts to contain any cases of… https://t.co/JP7OPOcMIa
118,"Yeah don’t be a puss and tuff it out.  
When you actually have to pay for things,   You aren’t so easy to spend it https://t.co/Fz3OpDZOUV"
119,We are so screwed 🤦‍♀️ https://t.co/YHvVPdbf2n
120,Isn’t that TSLA’s chart? https://t.co/s4DqHJKWJ6
121,@17frosted @CJ_isnowblue Just don’t try to drink enough to disinfect yourself. That could be deadlier than COVID 19
122,@piercetheveil on this is SENDING ME LMAO https://t.co/IY7ZUTKa2Q
123,i think i have a case of corona
124,🔻🔻This🔻🔻 https://t.co/ewUNXLEP6e
125,:0( omg. https://t.co/GUG1VTABTi
126,"Pro tip for Covid-19 'preppers' ;) 
Go to the dentist, get a cleaning, patch up what needs done. Nothing worse than… https://t.co/1vGEoiyLe5"
127,https://t.co/ANprlNvEPJ
128,Don't fall for this misdirection https://t.co/gtKQZlhJbX
129,It’s so obvious that they want division and chaos. They are very horrible people. 👎 https://t.co/1kC2ccyoVa
130,"Aye Corona! How Coronaviruses Cause Infection—from Colds to Deadly Pneumonia
https://t.co/QdLMS66Cin"
131,@LVCVA We promise to spread the corona virus around warm butter on a hot bun!!! 🔥🔥🔥❤️❤️❤️❤️❤️❤️ 😷 🤕
132,just got off the phone with the WHO and they said they’re dropping the cure for corona if this hits 1k 💯 https://t.co/kI8NjFLby7
133,I felt this article really downplayed the entire situation. I really felt like the White House pre-approved this me… https://t.co/2xFhpViSZ4
134,ASAA &amp; the Corona virus as they  completely ruin my senior year https://t.co/7eonobP7xC
135,"Also @travelocity ...

I've been on hold 9 mins with no hold music. It makes you think that the phone is off.

Is l… https://t.co/OVqWLEaSbL"
136,@LO23 I was supposed to go to Madrid in a couple days but then just the other day their coronavirus cases skyrocketed. 😢
137,I was in ORD 6 days ago. 😷 https://t.co/GJWG3lV0kZ
138,I’m just glad they didn’t use a Jeremy Lin pic for the thumbnail. https://t.co/wKKX2KoYOJ
139,@Trumptopia3 @SenSchumer https://t.co/lUN94sFvX8 https://t.co/givZgSUWBf
140,tear them to pieces. https://t.co/klI3maIzlG
141,Why can't FOX be held to account for spreading lies that are going to get people killed? https://t.co/XbbNI5tA0o
142,Alaska has its first positive covid19 :/
143,"We knew this the other day 🤷🏽‍♂️🤷🏻‍♀️🤷🏻
Why @GovDunleavy is there a cruise ship docking in Juneau with up to 700 pe… https://t.co/zHGVURsBZL"
144,Damn Covid-19 really cancelled Coachella 🤕
145,Follow this guy for up to date data related to the Corona virus https://t.co/02ljebjlkf
146,This was obvious from the beginning and consistent with his life history. It's all about him. He can't lead because… https://t.co/jnBEEOcqwF
147,"Called my dad to see how he was doing, and if he was preparing for covid-19. I was surprised he’s done all the thin… https://t.co/p1GRb4t9ON"
148,@lisamurkowski @SenDanSullivan your boy #MoscowMitch is a vile example of human greed. Do you support this?… https://t.co/ptUw0Bm7N1
149,"The definition of ""critical infrastructure"" is TESTING FOR THE Covid-19 virus during a PANDEMIC. You are rapidly be… https://t.co/bpORRpvlqe"
150,“Omg!!! the corona vir-“ https://t.co/B0aQEXyx5r
151,"Corona virus is not nearly as contagious as the stupidity!!! I am so sick of hearing this!! Wash your hands, stay h… https://t.co/dHOvfqw9sn"
152,I really thought this was her for a hot minute. The gays are clowning again. https://t.co/M3yvVEhCIL
153,And creates a catch-22 when precautions for collection wasn’t adjusted to align with #WHO. #COVID19 #CDC… https://t.co/xaUryf81cc
154,This. https://t.co/z8GGEZOLMa
155,"Why is it so cold?! Quick question, can COVID-19 #coronavirus live when it’s -20 below?  If so, parkas and Maklaks… https://t.co/2LWMAL45MI"
156,It's a fucking lie https://t.co/ew92tF066i
157,Agreed! https://t.co/L2YTkFyRma
158,That is exactly what it is https://t.co/riVEfFx1Jf
159,Well up until now Alaska had no known #COVIDー19. The CDC declares cruise ships unsafe and Alaska welcomes a huge cr… https://t.co/TtpRtJMtLT
160,#akedchat #teachertwitter #edutwitter #alaska #coronavirus #COVIDー19 #alaskateacher #Iditarod2020 #GoodNews https://t.co/MJUjZUlioP
161,👑Corona Queens👑When you still gotta have fun and someone has a hot glue gun!! #infectionpreventionposse #IPsrock… https://t.co/pmL5N9P0UE
162,"#PHWINs (@deBeaumontFndtn @ASTHO partnership) will be fielding again in fall 2020✅

Wondering what positive impacts… https://t.co/JWezAS7duZ"
163,@evacool_ Just wondering about the #COVIDー19  in #SaudiArabia. Has there been a outbreak.
164,Amidst the #Covid_19 #CoronavirusPandemic I still would like to take a shit in peace. Thank you. https://t.co/7Dg0p55AVp
165,"@RobotJQ @TikiMachine Ok. Apparently twinkies are next on the list.

https://t.co/ambByWkN1I"
166,Most of knew from the beginning he wasn't even close to having the chops for this. He's not only destroying the Rep… https://t.co/GtzrcgSimo
167,The larger populations of Alaska are on spring break this week with the majority of people returning from break thi… https://t.co/GtK2eld2Rs
168,Contagion 😷 do you really need an entire cart of crackers because there’s no toilet paper at Costco you locusts? Be… https://t.co/FqzKrAK5Ct
169,Bravooooo 👏🏾👏🏾👏🏾👏🏾 https://t.co/vDMHMdpIJk
170,Lol NA medical people are so fuckin lame dude.   Corona gonna kill us all for sure.
171,"Sound advice @KristinZiemke -TY for sharing. Your #GoogleDoc offers smart reminders for all. 

#GoogleClassroom… https://t.co/7Oge4477OL"
172,"Our colleagues in WA have led the charge as well. The evidence is there.
@Alaska_DHSS looking forward to the discus… https://t.co/XO0mpCtwrA"
173,Read the whole thing: ⬇️ https://t.co/fq4orLc0Ho
174,"This is so serious, that the right spreads disinformation is reprehensible. And now the fatality rate is (with avai… https://t.co/4nREdFgya6"
175,@PearDeck I used the template deck for “discussing hard topics” for a lesson on COVID-19 yesterday in my Health cla… https://t.co/43nVFjFJno
176,"The only thing that is worse than catching the Corona Virus, is feelings. Fatality is 100%. #coronavirus #feelings"
177,It doesn’t have to be tech! Great low or no-tech ideas for younger students to do at home while on extended break: https://t.co/RQHt1EsRAK
178,😳☹️ https://t.co/NCW4xKGAij
179,@AdrianEdmondson @ManiacFlesh “Kil’d by several accidents” is all about 2020 and and 4 more years of Trumpism. No… https://t.co/MOO6XUqyIK
180,There is absolutely nothing they would do to keep their power and The money flowing into their account!! https://t.co/aQwirothpV
181,You know what goes good with corona virus?  Lyme disease
182,"No reason to not post these, except deliberate cruelty. https://t.co/sQlfjZXhBe"
183,@junolocal @TheDonAlaska @GovDunleavy @CDCgov 🛳 Crew on a cruise ship aren’t usually over 60 years old and usually… https://t.co/oXEuYzYmLc
184,https://t.co/dxuT32lXiM
185,"For God's sake, he's getting people killed. GOP? Anybody home? https://t.co/PeBTOodQ50"
186,Ang akong newsfeed sa fb no puro related sa COVID-19.. masking layo na kaayo akong scroll naa japon kapoy na mag fb lol
187,"@ScottGottliebMD Maybe You should be president. I don't know your politics, but try explaining this to #Trump. #COVIDー19."
188,Just in case. https://t.co/VHiCz2qUaL
189,American Horror Story: COVID-19
190,@EmmyNumann Not da corona
191,We’re #Screwed https://t.co/ne6Z405Bls
192,Now record them jump up on the stairs lol https://t.co/NXegVu1Plp
193,Not scared of COVID19 but scared of other peoples reaction to it.
194,This is alarming on so many levels. #COVIDー19 https://t.co/o0qWrKt5Kt
195,This is crazy. #patient31 https://t.co/SKp5i2iLly
196,"What if Tulsi Gabbard is a time traveler and she knows that Bernie, Biden, and Trump all die of Coronavirus and gets elected"
197,Does this seem a little over the top? https://t.co/Z9jWHVyRux
198,This needs to be known.  #China #india #USA #Canada #CDC #Mexico #Australia #Africa #Norway #Sweden #Denmark… https://t.co/qwGQuVkk14
199,"Worse then Corona, there's iditarod fever.

Symptoms include:
- loss of productivity
- anxiety
- extreme emotional… https://t.co/zgXeyDb9bn"
200,"Great source for up to date COVID-19 Reports - Worldwide:

https://t.co/3MvNhami28"
201,"@fourhchic @gomer2323 @PithyOnion Sadly, it’s full of corona virus provisions."
202,Ayyye we safe🥱 https://t.co/g2f6uyOlSX
203,i hope the next person that hurts my feelings gets corona
204,Absolutely! They’re trying to stamp Trump’s name on it. I feel like they will resist to control it just to get peop… https://t.co/VjOinqFbhe
205,"@RepAdamSchiff @SpeakerPelosi @SenSchumer Hey Dem lawbreakers...I mean lawmakers, how about you donate 1/4 of your… https://t.co/0kkjE5TXRV"
206,Lol. I guess it’s better safe than sorry. https://t.co/eYa5HeJyBX
207,We would feel better if you believed in Science and spoke up against Trump’s stupidity on the subject https://t.co/sgkKs2ukTg
208,@eamonsphotoss coronavirus better watch its back fr
209,#AmericaIsInBigTroubleNow #TrumpNotFitForOffice https://t.co/oaHTZH4VjK
210,Everyone should do this.  @NBA @NFL @MLB @NHL @FirstTake - #USA - spread the #idea for wealthy people that can help… https://t.co/4fEUZNuFtG
211,"I'm getting tired of receiving emails about the coronavirus from businesses. 😒

Also, how bad do you want that toil… https://t.co/0iME46kRuC"
212,@ErrataRob @SheWhoRises The nytimes should remove paycwalls for corona articles!!
213,LOL https://t.co/gtkA5FNmfq
214,Bruh fuck corona virus all my homies got Bieber fever
215,@RyanTreeFiddy @whereyoubeen93 @Ginny_ficaddict @hhavrilesky @olgaNYC1211 Ahh...because they made up COVID-19...
216,"Additionally, there is a FAQ page that is being updated frequently as more information comes in. Go to “Suggest an… https://t.co/eYXdZqY0O7"
217,"For those curious on the current spread of the #CoronaVirus:

https://t.co/JrOrDnfa7B"
218,Come to anchorage we don’t have the corona virus :-) https://t.co/raV51qelSl
219,Fox and Hannity are a national security threat https://t.co/wIcN8moqwO
220,I am feeling the agony of Corona Paranoia descending on me and everyone else this spring. I get allergies and my ru… https://t.co/dLS6HSSrPv
221,@natethegreat118 I’m swinging next time I see covid-19
222,"The amount of stories in which people had to jump through numerous hoops, over multiple days (and in one case, had… https://t.co/gPq4aREPT5"
223,"#COVIDー19 Do we know yet how long this virus lasts, in us, in the air or on our bodies❓"
224,@CoachMattStone That’s scarier than actual COVID-19 😂
225,This is the only thing that scares me about the virus 💔 https://t.co/MuI7b4QNPC
226,"By all means let's allow more American deaths that's the endgame.
#45sadminiscriminallynegligent
#25thAmendmentNow https://t.co/jHek0YTAVE"
227,Thank God...#PreachItPresidente https://t.co/6yVVrLkbX7
228,"#45sadminiscriminallynegligent
#25thAmendmentNow https://t.co/w8Dh9Tja9y"
