country,state,state_name,year,month,sentiment,Total,Negative,Neutral,Positive,LDA,NMF,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4,LDA_5,LDA_6,LDA_7,LDA_8,LDA_9,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,words,freq
USA,AK,Alaska,2020,01,0.1037037037037037,9,1.0,4.0,4.0,0,6,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,"['people' 'zero' 'like' 'attention' 'bit' 'case' 'cases' 'cdc' 'center'
 'china']",[4 3 2 1 1 1 1 1 1 1]
USA,AK,Alaska,2020,02,-0.009298566017316021,32,10.0,13.0,9.0,8,1,6.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,15.0,1.0,6.0,10.0,5.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,['flu' 'like' 'sick' 'zero' 'cdc' 'people' 'wuhan' 'day' 'died' 'feel'],[7 6 6 6 4 4 4 3 3 3]
USA,AK,Alaska,2020,03,0.07631516849163908,255,53.0,105.0,97.0,8,0,46.0,22.0,15.0,16.0,2.0,16.0,18.0,15.0,86.0,19.0,71.0,17.0,17.0,17.0,58.0,9.0,24.0,12.0,12.0,18.0,"['people' 'case' 'trump' 'day' 'american' 'new' 'thing' 'die' 'help'
 'death']",[32 21 17 16 10 10 10  9  9  8]
USA,AK,Alaska,2020,04,0.09293145416674829,306,70.0,87.0,149.0,8,4,48.0,19.0,22.0,27.0,3.0,14.0,26.0,15.0,81.0,51.0,82.0,9.0,16.0,11.0,93.0,21.0,12.0,18.0,24.0,20.0,"['know' 'need' 'like' 'time' 'day' 'death' 'people' 'work' 'trump'
 'getting']",[22 22 20 17 16 16 15 15 14 13]
USA,AK,Alaska,2020,05,0.0724733263369627,99,22.0,36.0,41.0,8,4,14.0,7.0,5.0,4.0,0.0,5.0,7.0,9.0,27.0,21.0,20.0,3.0,3.0,4.0,25.0,6.0,7.0,9.0,10.0,12.0,"['day' 'people' 'like' 'student' 'administration' 'know' 'time' 'work'
 'test' 'dont']",[12 12 10  9  8  8  8  8  7  6]
USA,AL,Alabama,2020,01,0.07658536585365854,41,8.0,16.0,17.0,8,4,10.0,4.0,5.0,0.0,4.0,0.0,1.0,1.0,14.0,2.0,5.0,6.0,4.0,3.0,9.0,5.0,7.0,2.0,0.0,0.0,"['people' 'wuhan' 'china' 'like' 'new' 'outbreak' 'time' 'chinese' 'city'
 'disease']",[10 10  7  7  6  6  5  4  3  3]
USA,AL,Alabama,2020,02,-0.005854932977574488,159,53.0,67.0,39.0,8,1,28.0,30.0,6.0,3.0,2.0,11.0,14.0,4.0,54.0,7.0,21.0,35.0,18.0,2.0,28.0,6.0,9.0,10.0,18.0,12.0,"['people' 'china' 'wuhan' 'beer' 'outbreak' 'shit' 'know' 'like' 'need'
 'congress']",[15 14 13 11 10 10  9  9  9  8]
USA,AL,Alabama,2020,03,0.06774843388886247,1250,244.0,524.0,482.0,8,4,226.0,148.0,69.0,87.0,23.0,45.0,110.0,50.0,322.0,170.0,201.0,153.0,180.0,58.0,291.0,63.0,67.0,61.0,77.0,99.0,"['people' 'like' 'trump' 'going' 'time' 'pandemic' 'need' 'say' 'know'
 'test']",[101  71  62  54  54  53  50  49  44  44]
USA,AL,Alabama,2020,04,0.08108770387335108,1331,243.0,487.0,601.0,8,4,212.0,79.0,66.0,83.0,37.0,88.0,112.0,134.0,359.0,161.0,305.0,57.0,187.0,63.0,313.0,98.0,70.0,63.0,103.0,72.0,"['pandemic' 'thank' 'people' 'time' 'face' 'like' 'essential' 'fight'
 'daily' 'service']",[115 100  86  79  73  72  71  71  69  67]
USA,AL,Alabama,2020,05,0.09132605986380875,452,88.0,144.0,220.0,8,4,86.0,38.0,17.0,26.0,11.0,14.0,33.0,57.0,119.0,51.0,107.0,15.0,66.0,25.0,114.0,23.0,17.0,21.0,25.0,39.0,"['pandemic' 'thank' 'daily' 'service' 'challenge' 'essential' 'face'
 'fight' 'home' 'south']",[57 45 43 43 39 39 39 39 37 37]
