,Unnamed: 0,id,text,lang,created_at,state,city,longitude,latitude,cleaned_texts
0,0,1249166152217083904,"@brennikaye @ABC Oh hell no.   If he had Covid, every damn one of those idiot cops would now be infected.",en,2020-04-12 02:43:13+00:00,MO,Joplin,-94.579066,37.019415,brennikaye ABC Oh hell If Covid every damn one idiot cop would infected
1,1,1225624905221193728,"I would probably be quarantined ... and I just have a really, really bad cold. 

🙁🙁🙁
https://t.co/FmAJv7xAP3",en,2020-02-07 03:38:43+00:00,CA,San Jose,-122.035311,37.193164,I would probably quarantined I really really bad cold 
2,2,1249784601993715718,Good thread from someone on the front lines. https://t.co/GwFRAMssK2,en,2020-04-13 19:40:43+00:00,OK,Oklahoma City,-97.768683,35.290722,Good thread someone front line
3,3,1239389653028843522,Pretty sure I had it January 1 https://t.co/SBqkewASC8,en,2020-03-16 03:14:54+00:00,OR,Portland,-122.7900653,45.421863,Pretty sure I January
4,4,1248087289919610882,"President @realDonaldTrump, 
Why are these Politicians DESTROYING our Vape Industry &amp; Infringing on Millions of Adult Americans Rights?
Politics, Greed, &amp; 2020 Election!
#LetAmericaVapeAgain 
#WeVapeWeVote #WeDecide2020 #VapingSavesLives #OurRightsMatter #HelpUsPresidentTrump https://t.co/yKDQez79Yo",en,2020-04-09 03:16:12+00:00,FL,Pensacola,-87.259577,30.399257,President realDonaldTrump Why Politicians DESTROYING Vape Industry amp Infringing Millions Adult Americans Rights Politics Greed amp Election LetAmericaVapeAgain WeVapeWeVote WeDecide VapingSavesLives OurRightsMatter HelpUsPresidentTrump
5,5,1254911409860706304,Ojala no sea covid19... sino toda esa gente ira a cuarentena... pero siendo la contancia una de las empresas mas grandes del.pais.. y no tomo las medidas sanitarias con sus empleados...  imaginan al abrir la economia... https://t.co/flaPDmDtJ0,es,2020-04-27 23:12:49+00:00,CA,San Francisco,-122.514926,37.708075,Ojala sea covid sino toda esa gente ira cuarentena pero siendo la contancia una de la empresas ma grandes delpais tomo la medidas sanitarias con sus empleados imaginan al abrir la economia
6,6,1258105946313756673,All because of them! https://t.co/K0cKNrprrm https://t.co/IqKJgL0N06,en,2020-05-06 18:46:46+00:00,TX,Vidor,-94.0391282,30.079067,All
7,7,1252462939497533440,Yes https://t.co/j1QCvXkFbg,und,2020-04-21 05:03:29+00:00,KY,Taylor Mill,-84.524565,38.985365,Yes
8,8,1240716672362831878,@GovHowardDean Or we can send everyone back to work like we did for every other pandemic.,en,2020-03-19 19:08:00+00:00,USA,Florida,-87.634643,24.396308,GovHowardDean Or send everyone back work like every pandemic
9,9,1238855596650135553,He said Obama did this 🥴 https://t.co/9AILYHx8va,en,2020-03-14 15:52:45+00:00,SC,Pawleys Island,-79.1872336,33.393435,He said Obama 
10,10,1259108880837160961,This lady goin look at me and ask “this hospital ain’t got corona do it”.... the ignorance of some of these ppl. Like girl just stay at home.,en,2020-05-09 13:12:04+00:00,GA,Atlanta,-84.576827,33.6475029,This lady goin look ask “this hospital ain’t got corona it” ignorance ppl Like girl stay home
11,11,1244686916412477451,@pasladeuxieme @uber453 Wouldn’t this new stay at HOME order w/ penalties of a big fine prohibit going out and about?,en,2020-03-30 18:04:20+00:00,DC,Washington,-77.119401,38.801826,pasladeuxieme uber Wouldn’t new stay HOME order w penalty big fine prohibit going
12,12,1242623562449469440,"Q1 2020 in #seattle:

-Midnight Space Needle 🎇 cancelled
-FOOT of rain in January
-3rd &amp; Pine shooting
-COVID-19 unfolds
-Stay-at-home order
-W Seattle Br is falling down?

Fair to say it hasn’t been our year so far.",en,2020-03-25 01:25:18+00:00,WA,Seattle,-122.436232,47.4953154,Q seattle Midnight Space Needle  cancelled FOOT rain January rd amp Pine shooting COVID unfolds Stayathome order W Seattle Br falling Fair say hasn’t year far
13,13,1247360378130104321,"One of #Htown’s many hero’s during this #COVID19 epidemic is #txlege Rep. @GeneforTexas. He has truly worked hard for not only his community, but for our city and that should be commended. https://t.co/iqd5L6ObKk",en,2020-04-07 03:07:43+00:00,TX,Houston,-95.823268,29.522325,One Htown’s many hero’s COVID epidemic txlege Rep GeneforTexas He truly worked hard community city commended
14,14,1246633493804744704,"Nurses on the frontline. Tennessee Posted withregram • @ajplus ""What has killed other folks is killing me.""⁣⁣
⁣⁣
This nurse is asking people to take COVID-19 seriously as she struggles to breathe and fights back… https://t.co/KNnRXm7och",en,2020-04-05 02:59:20+00:00,USA,Illinois,-91.51308,36.970298,Nurses frontline Tennessee Posted withregram • ajplus What killed folk killing me⁣⁣ ⁣⁣ This nurse asking people take COVID seriously struggle breathe fight back…
