state,state_name,sentiment,Total,Negative,Neutral,Positive,LDA,NMF,LDA_0,LDA_1,LDA_2,LDA_3,LDA_4,LDA_5,LDA_6,LDA_7,LDA_8,LDA_9,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,words,freq
AK,Alaska,0.07687842478806334,581.0,127.0,215.0,239.0,0,0,191.0,49.0,97.0,3.0,4.0,38.0,78.0,22.0,43.0,56.0,173.0,34.0,31.0,21.0,144.0,30.0,36.0,32.0,46.0,34.0,['new' 'people' 'like' 'trump' 'need' 'case' 'day' 'amp' 'going' 'don'],[34 32 22 21 20 19 19 17 17 16]
AL,Alabama,0.07090849910238599,2733.0,502.0,1122.0,1109.0,0,0,787.0,312.0,536.0,17.0,57.0,136.0,290.0,112.0,246.0,240.0,629.0,352.0,230.0,115.0,625.0,154.0,138.0,127.0,187.0,176.0,['people' 'amp' 'trump' 'time' 'like' 'day' 'know' 'need' 'pandemic' 'new'],[161 148 128 112  97  93  82  79  79  77]
AR,Arkansas,0.048786471369703106,1289.0,269.0,526.0,494.0,0,4,366.0,114.0,259.0,5.0,24.0,71.0,164.0,62.0,106.0,118.0,300.0,115.0,124.0,56.0,302.0,72.0,70.0,77.0,79.0,94.0,['people' 'amp' 'like' 'time' 'new' 'home' 'trump' 'need' 'week' 'case'],[89 65 58 52 51 44 43 41 38 37]
AZ,Arizona,0.043205237077249124,7339.0,1672.0,3044.0,2623.0,0,4,2299.0,676.0,1290.0,150.0,129.0,367.0,876.0,291.0,580.0,681.0,1764.0,655.0,670.0,302.0,1783.0,326.0,414.0,509.0,480.0,436.0,['people' 'amp' 'like' 'trump' 'time' 'new' 'need' 'day' 'pandemic' 'home'],[457 367 297 289 253 244 229 217 202 193]
CA,California,0.04607442829423552,57368.0,12421.0,24315.0,20632.0,0,0,16026.0,5426.0,10775.0,1580.0,1375.0,3056.0,6206.0,3242.0,4416.0,5266.0,13940.0,6077.0,6008.0,2323.0,12924.0,2752.0,3230.0,2961.0,3846.0,3307.0,"['people' 'amp' 'like' 'trump' 'time' 'need' 'day' 'know' 'home'
 'pandemic']",[3474 2965 2330 2184 1892 1837 1622 1604 1578 1553]
CO,Colorado,0.05528975952913408,4804.0,1020.0,1903.0,1881.0,0,0,1486.0,467.0,776.0,53.0,91.0,237.0,586.0,236.0,432.0,440.0,1207.0,493.0,342.0,232.0,1152.0,242.0,284.0,264.0,311.0,277.0,['people' 'amp' 'like' 'time' 'trump' 'day' 'need' 'pandemic' 'home' 'new'],[300 255 209 186 178 140 137 137 133 131]
CT,Connecticut,0.06301995234809618,3437.0,722.0,1409.0,1306.0,0,0,930.0,374.0,552.0,102.0,87.0,210.0,407.0,167.0,317.0,291.0,891.0,314.0,266.0,159.0,832.0,186.0,181.0,168.0,238.0,202.0,['people' 'amp' 'like' 'time' 'trump' 'need' 'know' 'day' 'home' 'new'],[233 171 150 121 119 111 107 105 102  97]
DC,District of Columbia,0.05947854085246435,5640.0,1083.0,2354.0,2203.0,0,0,1575.0,605.0,660.0,206.0,118.0,408.0,734.0,260.0,578.0,496.0,1373.0,720.0,272.0,254.0,1342.0,382.0,323.0,366.0,343.0,265.0,['people' 'amp' 'like' 'trump' 'time' 'new' 'know' 'need' 'day' 'pandemic'],[338 285 240 196 188 165 164 160 152 137]
DE,Delaware,0.04002289196122866,779.0,75.0,531.0,173.0,0,5,511.0,35.0,67.0,1.0,6.0,18.0,52.0,22.0,34.0,33.0,85.0,30.0,38.0,26.0,121.0,376.0,18.0,35.0,31.0,19.0,"['people' 'amp' 'need' 'like' 'trump' 'time' 'day' 'death'
 'realdonaldtrump' 'don']",[44 35 31 30 30 29 28 22 22 21]
FL,Florida,0.03820752663086654,22365.0,4671.0,10246.0,7448.0,0,0,6361.0,1859.0,3586.0,1484.0,478.0,1320.0,2299.0,1210.0,1898.0,1870.0,5761.0,2945.0,1845.0,880.0,4930.0,1022.0,1074.0,1454.0,1267.0,1187.0,['people' 'amp' 'like' 'trump' 'time' 'need' 'know' 'pandemic' 'new' 'day'],[1379 1146  878  823  737  734  644  638  624  608]
GA,Georgia,0.059644974479352304,7588.0,1512.0,3253.0,2823.0,0,0,2087.0,641.0,1607.0,144.0,173.0,384.0,790.0,367.0,646.0,749.0,1873.0,809.0,803.0,297.0,1758.0,391.0,411.0,306.0,512.0,428.0,['people' 'amp' 'trump' 'time' 'like' 'need' 'day' 'know' 'new' 'pandemic'],[462 365 324 285 265 250 203 202 201 197]
HI,Hawaii,0.042575418575896896,1680.0,356.0,769.0,555.0,0,0,429.0,174.0,302.0,15.0,64.0,100.0,181.0,103.0,193.0,119.0,460.0,208.0,147.0,71.0,371.0,87.0,85.0,67.0,87.0,97.0,['people' 'time' 'like' 'amp' 'day' 'new' 'home' 'pandemic' 'trump' 'need'],[108  78  64  60  55  51  50  50  48  45]
IA,Iowa,0.07170215657342305,2001.0,385.0,748.0,868.0,0,4,575.0,206.0,305.0,20.0,31.0,129.0,234.0,74.0,223.0,204.0,490.0,182.0,108.0,93.0,555.0,98.0,114.0,88.0,151.0,122.0,['people' 'amp' 'trump' 'like' 'time' 'need' 'new' 'case' 'day' 'say'],[134  95  79  77  77  71  64  57  55  55]
ID,Idaho,0.05542576927726547,993.0,178.0,451.0,364.0,0,4,273.0,67.0,169.0,24.0,30.0,98.0,108.0,50.0,72.0,102.0,266.0,73.0,77.0,41.0,267.0,50.0,54.0,37.0,59.0,69.0,"['people' 'trump' 'like' 'need' 'pandemic' 'home' 'going' 'think'
 'realdonaldtrump' 'right']",[67 57 52 45 35 31 30 28 27 27]
IL,Illinois,0.05456604659801269,11681.0,2413.0,4967.0,4301.0,0,0,3286.0,1141.0,1993.0,310.0,259.0,576.0,1395.0,643.0,974.0,1104.0,3209.0,1002.0,927.0,486.0,2861.0,616.0,641.0,549.0,743.0,647.0,['people' 'amp' 'like' 'trump' 'time' 'know' 'day' 'need' 'case' 'new'],[680 584 458 428 406 345 335 326 313 313]
IN,Indiana,0.04372089850083663,4560.0,932.0,2012.0,1616.0,0,0,1336.0,458.0,805.0,42.0,98.0,298.0,543.0,185.0,398.0,397.0,1166.0,455.0,369.0,198.0,1107.0,234.0,259.0,179.0,309.0,284.0,['people' 'amp' 'like' 'trump' 'time' 'pandemic' 'day' 'home' 'know' 'new'],[274 264 195 172 161 145 143 137 135 128]
KS,Kansas,0.0522084575596101,1726.0,393.0,709.0,624.0,0,4,518.0,174.0,305.0,20.0,43.0,90.0,198.0,82.0,137.0,159.0,447.0,148.0,146.0,60.0,453.0,83.0,85.0,92.0,110.0,102.0,['people' 'amp' 'time' 'trump' 'like' 'need' 'know' 'home' 'new' 'day'],[99 78 73 70 69 62 53 52 51 49]
